timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T07:00:31.417531286Z,converact-g03-53-rustpbx-b63383b,1.23%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:00:31.417531286Z,converact-g03-53-router-b63383b,18.52%,37.71MiB / 7.506GiB,0.49%,17
2026-08-09T07:01:33.959207476Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:01:33.959207476Z,converact-g03-53-router-b63383b,0.06%,37.83MiB / 7.506GiB,0.49%,17
2026-08-09T07:02:36.491299460Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:02:36.491299460Z,converact-g03-53-router-b63383b,0.05%,36.5MiB / 7.506GiB,0.47%,17
2026-08-09T07:03:39.024396706Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:03:39.024396706Z,converact-g03-53-router-b63383b,0.05%,36.66MiB / 7.506GiB,0.48%,17
2026-08-09T07:04:41.556247001Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:04:41.556247001Z,converact-g03-53-router-b63383b,0.08%,36.55MiB / 7.506GiB,0.48%,17
2026-08-09T07:05:44.088791293Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:05:44.088791293Z,converact-g03-53-router-b63383b,0.04%,36.64MiB / 7.506GiB,0.48%,17
2026-08-09T07:06:46.622777416Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:06:46.622777416Z,converact-g03-53-router-b63383b,0.04%,36.77MiB / 7.506GiB,0.48%,17
2026-08-09T07:07:49.157861207Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:07:49.157861207Z,converact-g03-53-router-b63383b,0.09%,36.66MiB / 7.506GiB,0.48%,17
2026-08-09T07:08:51.689861643Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:08:51.689861643Z,converact-g03-53-router-b63383b,0.06%,36.78MiB / 7.506GiB,0.48%,17
2026-08-09T07:09:54.222530973Z,converact-g03-53-rustpbx-b63383b,0.03%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:09:54.222530973Z,converact-g03-53-router-b63383b,0.05%,36.89MiB / 7.506GiB,0.48%,17
2026-08-09T07:10:56.755528408Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:10:56.755528408Z,converact-g03-53-router-b63383b,0.09%,36.76MiB / 7.506GiB,0.48%,17
2026-08-09T07:11:59.288647403Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:11:59.288647403Z,converact-g03-53-router-b63383b,0.08%,36.88MiB / 7.506GiB,0.48%,17
2026-08-09T07:13:01.828177412Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:13:01.828177412Z,converact-g03-53-router-b63383b,0.05%,36.98MiB / 7.506GiB,0.48%,17
2026-08-09T07:14:04.367633177Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:14:04.367633177Z,converact-g03-53-router-b63383b,0.05%,37.12MiB / 7.506GiB,0.48%,17
2026-08-09T07:15:06.908058813Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:15:06.908058813Z,converact-g03-53-router-b63383b,0.05%,36.98MiB / 7.506GiB,0.48%,17
2026-08-09T07:16:09.439913881Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:16:09.439913881Z,converact-g03-53-router-b63383b,0.05%,37.11MiB / 7.506GiB,0.48%,17
2026-08-09T07:17:11.972080310Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:17:11.972080310Z,converact-g03-53-router-b63383b,0.05%,37.21MiB / 7.506GiB,0.48%,17
2026-08-09T07:18:14.504654331Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:18:14.504654331Z,converact-g03-53-router-b63383b,0.05%,37.1MiB / 7.506GiB,0.48%,17
2026-08-09T07:19:17.036573421Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:19:17.036573421Z,converact-g03-53-router-b63383b,0.05%,37.22MiB / 7.506GiB,0.48%,17
2026-08-09T07:20:19.569331052Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:20:19.569331052Z,converact-g03-53-router-b63383b,0.10%,37.38MiB / 7.506GiB,0.49%,17
2026-08-09T07:21:22.102049199Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:21:22.102049199Z,converact-g03-53-router-b63383b,0.10%,37.48MiB / 7.506GiB,0.49%,17
2026-08-09T07:22:24.634619244Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:22:24.634619244Z,converact-g03-53-router-b63383b,0.04%,37.37MiB / 7.506GiB,0.49%,17
2026-08-09T07:23:27.167431776Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:23:27.167431776Z,converact-g03-53-router-b63383b,0.04%,37.49MiB / 7.506GiB,0.49%,17
2026-08-09T07:24:29.698852582Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:24:29.698852582Z,converact-g03-53-router-b63383b,0.04%,37.59MiB / 7.506GiB,0.49%,17
2026-08-09T07:25:32.231175284Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:25:32.231175284Z,converact-g03-53-router-b63383b,0.05%,37.63MiB / 7.506GiB,0.49%,17
2026-08-09T07:26:34.762856027Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:26:34.762856027Z,converact-g03-53-router-b63383b,0.04%,38.26MiB / 7.506GiB,0.50%,17
2026-08-09T07:27:37.295974915Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:27:37.295974915Z,converact-g03-53-router-b63383b,0.10%,36.82MiB / 7.506GiB,0.48%,17
2026-08-09T07:28:39.828601923Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:28:39.828601923Z,converact-g03-53-router-b63383b,0.04%,36.92MiB / 7.506GiB,0.48%,17
2026-08-09T07:29:42.360583349Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:29:42.360583349Z,converact-g03-53-router-b63383b,0.04%,36.77MiB / 7.506GiB,0.48%,17
2026-08-09T07:30:44.895329748Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:30:44.895329748Z,converact-g03-53-router-b63383b,0.09%,36.86MiB / 7.506GiB,0.48%,17
2026-08-09T07:31:47.427603696Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:31:47.427603696Z,converact-g03-53-router-b63383b,0.05%,37MiB / 7.506GiB,0.48%,18
2026-08-09T07:32:49.961079219Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:32:49.961079219Z,converact-g03-53-router-b63383b,0.05%,36.84MiB / 7.506GiB,0.48%,18
2026-08-09T07:33:52.492147557Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:33:52.492147557Z,converact-g03-53-router-b63383b,0.04%,36.96MiB / 7.506GiB,0.48%,18
2026-08-09T07:34:55.024880883Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:34:55.024880883Z,converact-g03-53-router-b63383b,0.05%,37.04MiB / 7.506GiB,0.48%,18
2026-08-09T07:35:57.557042225Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:35:57.557042225Z,converact-g03-53-router-b63383b,0.10%,37.13MiB / 7.506GiB,0.48%,18
2026-08-09T07:37:00.088791021Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:37:00.088791021Z,converact-g03-53-router-b63383b,0.04%,36.98MiB / 7.506GiB,0.48%,18
2026-08-09T07:38:02.621499957Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:38:02.621499957Z,converact-g03-53-router-b63383b,0.04%,37.05MiB / 7.506GiB,0.48%,18
2026-08-09T07:39:05.155153219Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:39:05.155153219Z,converact-g03-53-router-b63383b,0.04%,37.12MiB / 7.506GiB,0.48%,18
