procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 1132728 3939616 161004 2642972    0    0     7    89 1027    9  2  1 97  0  0  0
 0  0 1132728 3906668 161496 2643772    1    0     1   172 3282 6461  3  2 95  0  0  0
 0  0 1131704 3925316 161700 2644648   13    0    25    80 3241 6311  3  2 94  0  0  0
 0  0 1131704 3918632 161868 2644788    1    0     1    79 3122 6178  2  2 96  0  0  0
 0  0 1131704 3924308 162120 2645004    1    0     1    64 3166 6247  2  2 96  0  0  0
 0  0 1131704 3931444 162256 2645144    1    0     1    79 3133 6181  3  2 96  0  0  0
 0  0 1131704 3924256 162408 2645264    1    0     1    60 3121 6160  2  2 96  0  0  0
 0  0 1131704 3920000 162600 2645404    0    0     0    60 3165 6243  2  2 96  0  0  0
 0  0 1131704 3923604 162744 2645684    1    0     1    75 3129 6181  3  2 95  0  0  0
 0  0 1131704 3916772 162932 2645876    0    0     0    69 3130 6194  2  2 96  0  0  0
 0  0 1131704 3925860 163084 2646160    1    0     3    71 3151 6213  2  2 96  0  0  0
 0  0 1131704 3920260 163220 2646276    0    0     0    63 3111 6163  2  2 96  0  0  0
 0  0 1131704 3927692 163388 2646408    0    0     0    64 3147 6218  2  2 96  0  0  0
 0  0 1131704 3922364 163692 2646576    0    0     2    65 3119 6184  2  2 96  0  0  0
 0  0 1131704 3933188 163908 2647168    0    0     7    71 3131 6188  3  2 95  0  0  0
 0  0 1131448 3938860 164076 2647304    3    0     4    68 3143 6208  2  2 96  0  0  0
 0  0 1131448 3934492 164276 2647744    1    0     5    66 3133 6200  2  2 96  0  0  0
 0  0 1131448 3923472 164444 2648384    1    0     9    66 3108 6170  2  2 96  0  0  0
 0  0 1131448 3920404 164624 2648528    1    0     1    61 3155 6229  2  2 96  0  0  0
 0  0 1131448 3923216 164788 2648728    1    0     1    64 3121 6184  2  2 96  0  0  0
 1  0 1131192 3934144 164976 2648876    2    0     2    64 3148 6216  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 1131192 3928628 165152 2649008    1    0     1    78 3122 6171  2  2 96  0  0  0
