StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);CallLengthRepartition;CallLengthRepartition_<1000;CallLengthRepartition_<60000;CallLengthRepartition_<600000;CallLengthRepartition_<3600000;CallLengthRepartition_<7200000;CallLengthRepartition_<7260000;CallLengthRepartition_>=7260000;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:00:32.568352	1786258832.568352;00:00:00;00:00:00;10.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:00:32.568948	1786258832.568948;2026-08-09	07:01:32.571820	1786258892.571820;00:01:00;00:01:00;10.000;0.017;0.017;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:01:32.571899	1786258892.571899;2026-08-09	07:02:32.574136	1786258952.574136;00:01:00;00:02:00;10.000;0.000;0.008;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:02:32.574203	1786258952.574203;2026-08-09	07:03:32.574593	1786259012.574593;00:01:00;00:03:00;10.000;0.000;0.006;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:03:32.574662	1786259012.574662;2026-08-09	07:04:32.577309	1786259072.577309;00:01:00;00:04:00;10.000;0.000;0.004;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:04:32.577382	1786259072.577382;2026-08-09	07:05:32.579738	1786259132.579738;00:01:00;00:05:00;10.000;0.000;0.003;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:05:32.579802	1786259132.579802;2026-08-09	07:06:32.582785	1786259192.582785;00:01:00;00:06:00;10.000;0.000;0.003;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:06:32.582881	1786259192.582881;2026-08-09	07:07:32.584068	1786259252.584068;00:01:00;00:07:00;10.000;0.000;0.002;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:07:32.584163	1786259252.584163;2026-08-09	07:08:32.585731	1786259312.585731;00:01:00;00:08:00;10.000;0.000;0.002;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:08:32.585804	1786259312.585804;2026-08-09	07:09:32.587215	1786259372.587215;00:01:00;00:09:00;10.000;0.000;0.002;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:09:32.587314	1786259372.587314;2026-08-09	07:10:32.587401	1786259432.587401;00:01:00;00:10:00;10.000;0.000;0.002;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:10:32.587472	1786259432.587472;2026-08-09	07:11:32.590440	1786259492.590440;00:01:00;00:11:00;10.000;0.000;0.002;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:11:32.590504	1786259492.590504;2026-08-09	07:12:32.592203	1786259552.592203;00:01:00;00:12:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:12:32.592271	1786259552.592271;2026-08-09	07:13:32.593257	1786259612.593257;00:01:00;00:13:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:13:32.593347	1786259612.593347;2026-08-09	07:14:32.594740	1786259672.594740;00:01:00;00:14:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:14:32.594810	1786259672.594810;2026-08-09	07:15:32.596553	1786259732.596553;00:01:00;00:15:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:15:32.596642	1786259732.596642;2026-08-09	07:16:32.599668	1786259792.599668;00:01:00;00:16:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:16:32.599761	1786259792.599761;2026-08-09	07:17:32.601021	1786259852.601021;00:01:00;00:17:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:17:32.601107	1786259852.601107;2026-08-09	07:18:32.602102	1786259912.602102;00:01:00;00:18:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:18:32.602176	1786259912.602176;2026-08-09	07:19:32.603136	1786259972.603136;00:01:00;00:19:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:19:32.603215	1786259972.603215;2026-08-09	07:20:32.604852	1786260032.604852;00:01:00;00:20:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:20:32.604928	1786260032.604928;2026-08-09	07:21:32.606133	1786260092.606133;00:01:00;00:21:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:21:32.606201	1786260092.606201;2026-08-09	07:22:32.606502	1786260152.606502;00:01:00;00:22:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:22:32.606571	1786260152.606571;2026-08-09	07:23:32.608145	1786260212.608145;00:01:00;00:23:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:23:32.608213	1786260212.608213;2026-08-09	07:24:32.608257	1786260272.608257;00:01:00;00:24:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:24:32.608368	1786260272.608368;2026-08-09	07:25:32.610353	1786260332.610353;00:01:00;00:25:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:25:32.610454	1786260332.610454;2026-08-09	07:26:32.612517	1786260392.612517;00:01:00;00:26:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:26:32.612586	1786260392.612586;2026-08-09	07:27:32.614843	1786260452.614843;00:01:00;00:27:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:27:32.614912	1786260452.614912;2026-08-09	07:28:32.616080	1786260512.616080;00:01:00;00:28:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:28:32.616186	1786260512.616186;2026-08-09	07:29:32.617208	1786260572.617208;00:01:00;00:29:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:29:32.617288	1786260572.617288;2026-08-09	07:30:32.620064	1786260632.620064;00:01:00;00:30:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:30:32.620143	1786260632.620143;2026-08-09	07:31:32.622094	1786260692.622094;00:01:00;00:31:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:31:32.622192	1786260692.622192;2026-08-09	07:32:32.624906	1786260752.624906;00:01:00;00:32:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:32:32.624983	1786260752.624983;2026-08-09	07:33:32.626304	1786260812.626304;00:01:00;00:33:00;10.000;0.000;0.001;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:33:32.626399	1786260812.626399;2026-08-09	07:34:32.627321	1786260872.627321;00:01:00;00:34:00;10.000;0.000;0.000;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:34:32.627396	1786260872.627396;2026-08-09	07:35:32.627305	1786260932.627305;00:00:59;00:35:00;10.000;0.000;0.000;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
2026-08-09	07:00:32.567166	1786258832.567166;2026-08-09	07:35:32.627392	1786260932.627392;2026-08-09	07:36:32.628723	1786260992.628723;00:01:00;00:36:00;10.000;0.000;0.000;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;
