CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:55:44.549929	1786258544.549929;00:00:00:001000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-08-09	06:55:45.551749	1786258545.551749;00:00:01:003000;99;0;0;99;0;0;0;99;0;0;0;99;0;0;99;0;
2026-08-09	06:55:46.553918	1786258546.553918;00:00:02:005000;200;0;0;200;0;0;0;200;0;0;0;200;0;0;199;0;
2026-08-09	06:55:47.554912	1786258547.554912;00:00:03:006000;300;0;0;300;0;0;0;300;0;0;0;300;0;0;300;0;
2026-08-09	06:55:48.556241	1786258548.556241;00:00:04:007000;400;0;0;400;0;0;0;400;0;0;0;400;0;0;400;0;
2026-08-09	06:55:49.557606	1786258549.557606;00:00:05:008000;500;0;0;500;0;0;0;500;0;0;0;500;0;0;500;0;
2026-08-09	06:55:50.559870	1786258550.559870;00:00:06:011000;600;0;0;600;0;0;0;600;0;0;0;600;0;0;600;0;
2026-08-09	06:55:51.562184	1786258551.562184;00:00:07:013000;700;0;0;700;0;0;0;700;0;0;0;700;0;0;700;0;
2026-08-09	06:55:52.563796	1786258552.563796;00:00:08:015000;801;0;0;801;0;0;0;801;0;0;0;801;0;0;800;0;
2026-08-09	06:55:53.565028	1786258553.565028;00:00:09:016000;901;0;0;901;0;0;0;901;0;0;0;901;0;0;901;0;
2026-08-09	06:55:54.566806	1786258554.566806;00:00:10:018000;1001;0;0;1001;0;0;0;1001;0;0;0;1001;0;0;1001;0;
2026-08-09	06:55:55.569373	1786258555.569373;00:00:11:020000;1101;0;0;1101;0;0;0;1101;0;0;0;1101;0;0;1101;0;
2026-08-09	06:55:56.572018	1786258556.572018;00:00:12:023000;1201;0;0;1201;0;0;0;1201;0;0;0;1201;0;0;1201;0;
2026-08-09	06:55:57.572708	1786258557.572708;00:00:13:023000;1302;0;0;1302;0;0;0;1302;0;0;0;1302;0;0;1301;0;
2026-08-09	06:55:58.573813	1786258558.573813;00:00:14:025000;1402;0;0;1402;0;0;0;1402;0;0;0;1402;0;0;1401;0;
2026-08-09	06:55:59.575508	1786258559.575508;00:00:15:026000;1500;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;1500;0;
2026-08-09	06:55:59.808818	1786258559.808818;00:00:15:260000;1500;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;1500;0;
2026-08-09	06:55:59.809206	1786258559.809206;00:00:15:260000;1500;0;0;1500;0;0;0;1500;0;0;0;1500;0;0;1500;0;
