Date_ms;response_time_ms;rtd_no
16.001;2;sip_route
26.001;3;sip_route
36.001;3;sip_route
44.001;0;sip_route
54.001;1;sip_route
64.001;0;sip_route
74.001;1;sip_route
84.001;0;sip_route
94.001;1;sip_route
104.001;0;sip_route
113.001;1;sip_route
124.001;1;sip_route
133.001;1;sip_route
143.001;1;sip_route
153.001;1;sip_route
163.001;1;sip_route
173.001;0;sip_route
182.001;0;sip_route
194.001;1;sip_route
203.001;1;sip_route
212.001;0;sip_route
223.001;1;sip_route
234.002;1;sip_route
242.002;0;sip_route
254.002;1;sip_route
263.002;1;sip_route
273.002;1;sip_route
283.002;0;sip_route
293.002;1;sip_route
305.002;1;sip_route
313.002;0;sip_route
323.002;1;sip_route
334.002;2;sip_route
343.002;0;sip_route
353.002;1;sip_route
364.002;1;sip_route
373.002;1;sip_route
383.002;0;sip_route
393.002;1;sip_route
403.002;1;sip_route
414.002;1;sip_route
424.002;1;sip_route
434.002;1;sip_route
444.002;1;sip_route
454.002;1;sip_route
464.002;1;sip_route
472.002;0;sip_route
484.002;0;sip_route
493.002;0;sip_route
504.002;1;sip_route
513.002;1;sip_route
523.002;1;sip_route
534.002;2;sip_route
544.002;1;sip_route
555.002;2;sip_route
563.002;1;sip_route
574.003;2;sip_route
585.003;2;sip_route
592.003;0;sip_route
604.003;1;sip_route
613.003;0;sip_route
623.003;1;sip_route
634.003;1;sip_route
642.003;0;sip_route
654.003;1;sip_route
663.003;1;sip_route
674.003;1;sip_route
683.003;1;sip_route
694.003;1;sip_route
704.003;1;sip_route
714.003;1;sip_route
723.003;0;sip_route
733.003;1;sip_route
743.003;1;sip_route
754.003;1;sip_route
763.003;1;sip_route
773.003;1;sip_route
782.003;0;sip_route
792.003;0;sip_route
803.003;1;sip_route
813.003;0;sip_route
823.003;1;sip_route
837.003;4;sip_route
844.003;1;sip_route
853.003;1;sip_route
862.003;0;sip_route
873.003;1;sip_route
883.003;1;sip_route
893.003;0;sip_route
903.003;1;sip_route
914.004;1;sip_route
924.004;1;sip_route
935.004;1;sip_route
943.004;1;sip_route
953.004;1;sip_route
963.004;1;sip_route
972.004;0;sip_route
983.004;0;sip_route
993.004;0;sip_route
1004;1;sip_route
1014;1;sip_route
1025;1;sip_route
1033;1;sip_route
1045;2;sip_route
1054;0;sip_route
1064;1;sip_route
1072;0;sip_route
1083;0;sip_route
1093;1;sip_route
1104;1;sip_route
1112;0;sip_route
1123;1;sip_route
1133;1;sip_route
1142;0;sip_route
1154;1;sip_route
1164;1;sip_route
1174;1;sip_route
1184;1;sip_route
1194;1;sip_route
1204;1;sip_route
1214;1;sip_route
1224;1;sip_route
1234;1;sip_route
1243;0;sip_route
1253.01;1;sip_route
1263.01;1;sip_route
1273.01;1;sip_route
1283.01;0;sip_route
1294.01;1;sip_route
1304.01;1;sip_route
1314.01;0;sip_route
1323.01;1;sip_route
1334.01;1;sip_route
1344.01;0;sip_route
1352.01;1;sip_route
1363.01;1;sip_route
1373.01;1;sip_route
1383.01;0;sip_route
1393.01;1;sip_route
1403.01;1;sip_route
1413.01;1;sip_route
1423.01;1;sip_route
1433.01;1;sip_route
1444.01;1;sip_route
1454.01;1;sip_route
1463.01;1;sip_route
1474.01;1;sip_route
1482.01;0;sip_route
1492.01;0;sip_route
1503.01;1;sip_route
1513.01;0;sip_route
1523.01;0;sip_route
1534.01;1;sip_route
1543.01;0;sip_route
1552.01;0;sip_route
1563.01;1;sip_route
1573.01;1;sip_route
1584.01;1;sip_route
1594.01;2;sip_route
1603.01;0;sip_route
1613.01;1;sip_route
1623.01;1;sip_route
1633.01;1;sip_route
1644.01;1;sip_route
1653.01;0;sip_route
1663.01;1;sip_route
1673.01;1;sip_route
1684.01;1;sip_route
1694.01;0;sip_route
1704.01;1;sip_route
1713.01;1;sip_route
1722.01;0;sip_route
1734.01;0;sip_route
1744.01;1;sip_route
1752.01;1;sip_route
1763.01;1;sip_route
1774.01;1;sip_route
1782.01;1;sip_route
1793.01;1;sip_route
1804.01;1;sip_route
1815.01;1;sip_route
1825.01;2;sip_route
1833.01;1;sip_route
1844.01;1;sip_route
1853.01;1;sip_route
1864.01;1;sip_route
1872.01;0;sip_route
1883.01;1;sip_route
1894.01;1;sip_route
1904.01;1;sip_route
1914.01;0;sip_route
1924.01;0;sip_route
1935.01;2;sip_route
1944.01;1;sip_route
1954.01;1;sip_route
1964.01;1;sip_route
1974.01;1;sip_route
1984.01;1;sip_route
1992.01;0;sip_route
2004.01;1;sip_route
2013.01;1;sip_route
2023.01;1;sip_route
2033.01;0;sip_route
2043.01;1;sip_route
2053.01;1;sip_route
2064.01;1;sip_route
2074.01;0;sip_route
2084.01;1;sip_route
2094.01;1;sip_route
2104.01;1;sip_route
2112.01;1;sip_route
2124.01;1;sip_route
2132.01;0;sip_route
2142.01;0;sip_route
2153.01;1;sip_route
2164.01;1;sip_route
2172.01;0;sip_route
2183.01;1;sip_route
2193.01;1;sip_route
2203.01;1;sip_route
2213.01;1;sip_route
2223.01;1;sip_route
2233.01;1;sip_route
2243.01;1;sip_route
2252.01;0;sip_route
2263.01;0;sip_route
2273.01;1;sip_route
2282.01;0;sip_route
2293.01;1;sip_route
2304.01;1;sip_route
2315.01;1;sip_route
2324.01;0;sip_route
2332.01;0;sip_route
2344.01;1;sip_route
2352.01;0;sip_route
2364.01;1;sip_route
2374.01;1;sip_route
2384.01;0;sip_route
2394.01;0;sip_route
2403.01;1;sip_route
2414.01;1;sip_route
2424.01;0;sip_route
2433.01;1;sip_route
2443.01;0;sip_route
2454.01;1;sip_route
2464.01;0;sip_route
2474.01;1;sip_route
2482.01;0;sip_route
2493.01;1;sip_route
2503.01;1;sip_route
2512.01;0;sip_route
2524.01;1;sip_route
