timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T06:57:47.450649023Z,converact-g03-53-rustpbx-b63383b,65.24%,134MiB / 7.506GiB,1.74%,9
2026-08-09T06:57:47.450649023Z,converact-g03-53-router-b63383b,34.25%,46.19MiB / 7.506GiB,0.60%,17
2026-08-09T06:57:47.450649023Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:57:47.450649023Z,converact-g03-53-capacity-q1000-b63383b,41.01%,3.066MiB / 7.506GiB,0.04%,1
2026-08-09T06:57:51.064195115Z,converact-g03-53-rustpbx-b63383b,64.56%,218.6MiB / 7.506GiB,2.84%,9
2026-08-09T06:57:51.064195115Z,converact-g03-53-router-b63383b,33.92%,47.49MiB / 7.506GiB,0.62%,17
2026-08-09T06:57:51.064195115Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:57:51.064195115Z,converact-g03-53-capacity-q1000-b63383b,39.79%,5.125MiB / 7.506GiB,0.07%,1
2026-08-09T06:57:54.676741530Z,converact-g03-53-rustpbx-b63383b,64.95%,239.9MiB / 7.506GiB,3.12%,9
2026-08-09T06:57:54.676741530Z,converact-g03-53-router-b63383b,38.37%,55.25MiB / 7.506GiB,0.72%,17
2026-08-09T06:57:54.676741530Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:57:54.676741530Z,converact-g03-53-capacity-q1000-b63383b,40.24%,6.301MiB / 7.506GiB,0.08%,1
2026-08-09T06:57:58.276340782Z,converact-g03-53-rustpbx-b63383b,65.11%,243.7MiB / 7.506GiB,3.17%,9
2026-08-09T06:57:58.276340782Z,converact-g03-53-router-b63383b,34.08%,55.89MiB / 7.506GiB,0.73%,17
2026-08-09T06:57:58.276340782Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:57:58.276340782Z,converact-g03-53-capacity-q1000-b63383b,41.33%,7.918MiB / 7.506GiB,0.10%,1
2026-08-09T06:58:01.884020612Z,converact-g03-53-rustpbx-b63383b,63.44%,245MiB / 7.506GiB,3.19%,9
2026-08-09T06:58:01.884020612Z,converact-g03-53-router-b63383b,33.29%,56.73MiB / 7.506GiB,0.74%,17
2026-08-09T06:58:01.884020612Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:01.884020612Z,converact-g03-53-capacity-q1000-b63383b,42.08%,9.688MiB / 7.506GiB,0.13%,1
2026-08-09T06:58:05.504801149Z,converact-g03-53-rustpbx-b63383b,64.30%,246.5MiB / 7.506GiB,3.21%,9
2026-08-09T06:58:05.504801149Z,converact-g03-53-router-b63383b,34.92%,57.38MiB / 7.506GiB,0.75%,17
2026-08-09T06:58:05.504801149Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:05.504801149Z,converact-g03-53-capacity-q1000-b63383b,40.72%,11.49MiB / 7.506GiB,0.15%,1
2026-08-09T06:58:09.103561563Z,converact-g03-53-rustpbx-b63383b,64.35%,247.5MiB / 7.506GiB,3.22%,9
2026-08-09T06:58:09.103561563Z,converact-g03-53-router-b63383b,33.91%,73.5MiB / 7.506GiB,0.96%,17
2026-08-09T06:58:09.103561563Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:09.103561563Z,converact-g03-53-capacity-q1000-b63383b,41.39%,12.64MiB / 7.506GiB,0.16%,1
2026-08-09T06:58:12.715652081Z,converact-g03-53-rustpbx-b63383b,64.76%,248.2MiB / 7.506GiB,3.23%,9
2026-08-09T06:58:12.715652081Z,converact-g03-53-router-b63383b,33.81%,72.03MiB / 7.506GiB,0.94%,17
2026-08-09T06:58:12.715652081Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:12.715652081Z,converact-g03-53-capacity-q1000-b63383b,41.69%,14.69MiB / 7.506GiB,0.19%,1
2026-08-09T06:58:16.328815161Z,converact-g03-53-rustpbx-b63383b,64.04%,248.2MiB / 7.506GiB,3.23%,9
2026-08-09T06:58:16.328815161Z,converact-g03-53-router-b63383b,33.35%,72.64MiB / 7.506GiB,0.95%,17
2026-08-09T06:58:16.328815161Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:16.328815161Z,converact-g03-53-capacity-q1000-b63383b,41.62%,16.05MiB / 7.506GiB,0.21%,1
2026-08-09T06:58:19.950970336Z,converact-g03-53-rustpbx-b63383b,66.71%,248.6MiB / 7.506GiB,3.23%,9
2026-08-09T06:58:19.950970336Z,converact-g03-53-router-b63383b,34.34%,73.21MiB / 7.506GiB,0.95%,17
2026-08-09T06:58:19.950970336Z,converact-g03-53-pg-b63383b,0.85%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:19.950970336Z,converact-g03-53-capacity-q1000-b63383b,42.46%,17.1MiB / 7.506GiB,0.22%,1
2026-08-09T06:58:23.544361266Z,converact-g03-53-rustpbx-b63383b,64.66%,248.8MiB / 7.506GiB,3.24%,9
2026-08-09T06:58:23.544361266Z,converact-g03-53-router-b63383b,36.53%,72MiB / 7.506GiB,0.94%,17
2026-08-09T06:58:23.544361266Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:23.544361266Z,converact-g03-53-capacity-q1000-b63383b,42.00%,17.48MiB / 7.506GiB,0.23%,1
2026-08-09T06:58:27.159488075Z,converact-g03-53-rustpbx-b63383b,65.68%,248.7MiB / 7.506GiB,3.24%,9
2026-08-09T06:58:27.159488075Z,converact-g03-53-router-b63383b,32.67%,72.18MiB / 7.506GiB,0.94%,17
2026-08-09T06:58:27.159488075Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:27.159488075Z,converact-g03-53-capacity-q1000-b63383b,41.30%,17.94MiB / 7.506GiB,0.23%,1
2026-08-09T06:58:30.784971382Z,converact-g03-53-rustpbx-b63383b,64.54%,248.9MiB / 7.506GiB,3.24%,9
2026-08-09T06:58:30.784971382Z,converact-g03-53-router-b63383b,33.53%,73MiB / 7.506GiB,0.95%,17
2026-08-09T06:58:30.784971382Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:30.784971382Z,converact-g03-53-capacity-q1000-b63383b,42.15%,17.87MiB / 7.506GiB,0.23%,1
2026-08-09T06:58:34.411599283Z,converact-g03-53-rustpbx-b63383b,64.75%,249.2MiB / 7.506GiB,3.24%,9
2026-08-09T06:58:34.411599283Z,converact-g03-53-router-b63383b,33.72%,73.43MiB / 7.506GiB,0.96%,17
2026-08-09T06:58:34.411599283Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:34.411599283Z,converact-g03-53-capacity-q1000-b63383b,42.37%,18.13MiB / 7.506GiB,0.24%,1
2026-08-09T06:58:38.009888599Z,converact-g03-53-rustpbx-b63383b,64.28%,249.3MiB / 7.506GiB,3.24%,9
2026-08-09T06:58:38.009888599Z,converact-g03-53-router-b63383b,36.62%,75.94MiB / 7.506GiB,0.99%,17
2026-08-09T06:58:38.009888599Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:38.009888599Z,converact-g03-53-capacity-q1000-b63383b,42.25%,18.69MiB / 7.506GiB,0.24%,1
2026-08-09T06:58:41.617818113Z,converact-g03-53-rustpbx-b63383b,63.34%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T06:58:41.617818113Z,converact-g03-53-router-b63383b,35.41%,99.78MiB / 7.506GiB,1.30%,17
2026-08-09T06:58:41.617818113Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:41.617818113Z,converact-g03-53-capacity-q1000-b63383b,42.61%,18.6MiB / 7.506GiB,0.24%,1
2026-08-09T06:58:45.213254309Z,converact-g03-53-rustpbx-b63383b,29.67%,249.9MiB / 7.506GiB,3.25%,9
2026-08-09T06:58:45.213254309Z,converact-g03-53-router-b63383b,17.35%,99.27MiB / 7.506GiB,1.29%,17
2026-08-09T06:58:45.213254309Z,converact-g03-53-pg-b63383b,0.00%,80.55MiB / 7.506GiB,1.05%,9
2026-08-09T06:58:45.213254309Z,converact-g03-53-capacity-q1000-b63383b,41.66%,19.11MiB / 7.506GiB,0.25%,1
