StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimesip_route(P);ResponseTimesip_route(C);ResponseTimesip_routeStDev(P);ResponseTimesip_routeStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitionsip_route;ResponseTimeRepartitionsip_route_<10;ResponseTimeRepartitionsip_route_<20;ResponseTimeRepartitionsip_route_<30;ResponseTimeRepartitionsip_route_<40;ResponseTimeRepartitionsip_route_<50;ResponseTimeRepartitionsip_route_<100;ResponseTimeRepartitionsip_route_<150;ResponseTimeRepartitionsip_route_<500;ResponseTimeRepartitionsip_route_<1000;ResponseTimeRepartitionsip_route_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:46.590073	1786258666.590073;00:00:00;00:00:00;1000.000;0.000;0.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:46.590256	1786258666.590256;2026-08-09	06:57:47.590524	1786258667.590524;00:00:01;00:00:01;1000.000;998.000;996.008;0;0;998;998;998;253;745;745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:016000;00:00:00:016000;00:00:00:262000;00:00:00:262000;00:00:00:019000;00:00:00:019000;;767;143;40;12;2;19;14;0;0;0;;0;0;0;0;745;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:47.590598	1786258667.590598;2026-08-09	06:57:48.592928	1786258668.592928;00:00:01;00:00:02;1000.000;997.006;996.507;0;0;999;1997;1997;253;999;1744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:005000;00:00:00:001000;00:00:00:012000;00:00:00:254000;00:00:00:257000;00:00:00:002000;00:00:00:013000;;1740;158;40;12;2;19;14;0;0;0;;0;0;0;0;1744;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:48.593005	1786258668.593005;2026-08-09	06:57:49.593486	1786258669.593486;00:00:01;00:00:03;1000.000;1000.000;997.338;0;0;1000;2997;2997;253;1000;2744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:004000;00:00:00:002000;00:00:00:010000;00:00:00:254000;00:00:00:256000;00:00:00:002000;00:00:00:010000;;2724;184;40;12;2;19;14;0;0;0;;0;0;0;0;2744;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:49.593541	1786258669.593541;2026-08-09	06:57:50.595413	1786258670.595413;00:00:01;00:00:04;1000.000;1000.999;998.003;0;0;1002;3999;3999;258;997;3741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:003000;00:00:00:001000;00:00:00:009000;00:00:00:254000;00:00:00:256000;00:00:00:001000;00:00:00:009000;;3728;184;40;12;2;19;14;0;0;0;;0;0;0;0;3741;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:50.595490	1786258670.595490;2026-08-09	06:57:51.596732	1786258671.596732;00:00:01;00:00:05;1000.000;1000.000;998.403;0;0;1001;5000;5000;254;1005;4746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:004000;00:00:00:008000;00:00:00:256000;00:00:00:256000;00:00:00:004000;00:00:00:008000;;4618;278;57;12;2;19;14;0;0;0;;0;0;0;0;4746;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:51.596804	1786258671.596804;2026-08-09	06:57:52.597468	1786258672.597468;00:00:01;00:00:06;1000.000;997.000;998.003;0;0;997;5997;5997;252;999;5745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:003000;00:00:00:000000;00:00:00:007000;00:00:00:254000;00:00:00:255000;00:00:00:001000;00:00:00:007000;;5614;278;57;12;2;19;14;0;0;0;;0;0;0;0;5745;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:52.597542	1786258672.597542;2026-08-09	06:57:53.599539	1786258673.599539;00:00:01;00:00:07;1000.000;999.001;998.003;0;0;1000;6997;6997;253;999;6744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:002000;00:00:00:003000;00:00:00:003000;00:00:00:007000;00:00:00:255000;00:00:00:255000;00:00:00:003000;00:00:00:007000;;6556;335;57;12;2;19;14;0;0;0;;0;0;0;0;6744;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:53.599615	1786258673.599615;2026-08-09	06:57:54.601525	1786258674.601525;00:00:01;00:00:08;1000.000;1000.000;998.128;0;0;1001;7998;7998;262;992;7736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:003000;00:00:00:013000;00:00:00:008000;00:00:00:254000;00:00:00:255000;00:00:00:001000;00:00:00:006000;;7329;380;97;85;70;22;14;0;0;0;;0;0;0;0;7736;0;0;
2026-08-09	06:57:46.588152	1786258666.588152;2026-08-09	06:57:54.601594	1786258674.601594;2026-08-09	06:57:55.604264	1786258675.604264;00:00:01;00:00:09;1000.000;997.006;997.893;0;0;999;8997;8997;252;1009;8745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:003000;00:00:00:003000;00:00:00:008000;00:00:00:262000;00:00:00:256000;00:00:00:013000;00:00:00:008000;;8259;449;98;85;70;22;14;0;0;0;;0;0;0;0;8745;0;0;
