procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1133496 4355640 159048 2482412    0    0     7    89 1027    9  2  1 97  0  0  0
 0  0 1133496 4340852 159104 2482832    0    0     4   940 4978 9801 16 10 73  1  0  0
 0  0 1133496 4340600 159104 2482960    0    0     0     0 3845 7140  9  4 87  0  0  0
 0  0 1133496 4340376 159104 2483056    0    0     0     0 3181 5438  7  4 90  0  0  0
 1  0 1133496 4340136 159104 2483184    0    0     0     0 4000 7157 10  7 83  0  0  0
 3  0 1133496 4340136 159112 2483300    0    0     0   212 3026 5047  6  3 92  0  0  0
 0  0 1133496 4338120 159112 2483408    4    0     4   620 3514 6336  9  4 87  0  0  0
 3  0 1133496 4338120 159112 2483520    0    0     0     0 2995 4958  6  3 91  0  0  0
 0  0 1133496 4327536 159112 2483624    0    0     0     0 3951 7337  9  6 85  0  0  0
 0  0 1133496 4327284 159112 2483744    0    0     0     4 3219 5561  6  2 92  0  0  0
 0  0 1133496 4324260 159120 2483856    0    0     0   104 3413 6308  8  5 88  0  0  0
 0  0 1133496 4324260 159144 2483968    0    0     0   336 3473 6050  8  4 88  1  0  0
 2  0 1133496 4324260 159144 2484068   24    0    24     8 4061 7803  8  4 88  0  0  0
 0  0 1133496 4324260 159144 2484196    0    0     0     0 2996 5203  5  2 93  0  0  0
 0  0 1133496 4339172 159144 2484280    0    0     0     0 3619 6571  8  5 87  0  0  0
 1  0 1133496 4339172 159144 2484572    0    0     0     0 3180 5336  7  3 90  0  0  0
 0  0 1133496 4346020 159176 2484496    0    0     0  3168 3355 6856  8  9 83  0  0  0
 0  0 1133496 4345768 159176 2484500    0    0     0     0 1314 2653  1  2 97  0  0  0
 0  0 1133496 4353580 159176 2484500    0    0     0     0 2010 4108  4  3 94  0  0  0
