Date_ms;response_time_ms;rtd_no
55.002;2;g03_final
104.002;1;g03_final
153.002;1;g03_final
205.002;2;g03_final
253.003;1;g03_final
304.003;2;g03_final
353.003;1;g03_final
403.003;2;g03_final
455.004;1;g03_final
504.004;2;g03_final
554.004;2;g03_final
604.004;2;g03_final
654.005;1;g03_final
705.005;2;g03_final
754.005;1;g03_final
804.005;2;g03_final
854.006;1;g03_final
904.006;2;g03_final
954.006;1;g03_final
1004.01;2;g03_final
1054.01;1;g03_final
1103.01;1;g03_final
1153.01;1;g03_final
1205.01;1;g03_final
1253.01;1;g03_final
1304.01;1;g03_final
1354.01;2;g03_final
1403.01;1;g03_final
1454.01;2;g03_final
1503.01;1;g03_final
1554.01;2;g03_final
1603.01;1;g03_final
1655.01;1;g03_final
1703.01;1;g03_final
1754.01;1;g03_final
1803.01;1;g03_final
1853.01;1;g03_final
1905.01;3;g03_final
1953.01;1;g03_final
2005.01;2;g03_final
2054.01;2;g03_final
2103.01;1;g03_final
2155.01;2;g03_final
2203.01;1;g03_final
2254.01;2;g03_final
2303.01;1;g03_final
2354.01;2;g03_final
2403.01;1;g03_final
2454.01;2;g03_final
2504.01;2;g03_final
2553.01;1;g03_final
2605.01;2;g03_final
2653.01;1;g03_final
2705.01;2;g03_final
2753.01;1;g03_final
2805.01;2;g03_final
2853.02;1;g03_final
2904.02;2;g03_final
2955.02;2;g03_final
3004.02;1;g03_final
3054.02;2;g03_final
3104.02;1;g03_final
3155.02;1;g03_final
3204.02;2;g03_final
3253.02;1;g03_final
3305.02;2;g03_final
3353.02;1;g03_final
3405.02;2;g03_final
3454.02;1;g03_final
3505.02;2;g03_final
3554.02;1;g03_final
3604.02;1;g03_final
3653.02;1;g03_final
3704.02;2;g03_final
3754.02;1;g03_final
3804.02;2;g03_final
3853.02;1;g03_final
3904.02;1;g03_final
3956.02;3;g03_final
4004.02;1;g03_final
4055.02;2;g03_final
4103.02;1;g03_final
4154.02;2;g03_final
4204.02;1;g03_final
4254.02;2;g03_final
4303.02;1;g03_final
4355.02;2;g03_final
4403.02;1;g03_final
4454.02;2;g03_final
4503.02;1;g03_final
4555.02;2;g03_final
4605.02;2;g03_final
4655.02;1;g03_final
4704.02;1;g03_final
4754.02;2;g03_final
4803.02;1;g03_final
4854.03;2;g03_final
4903.03;1;g03_final
4954.03;1;g03_final
5003.03;1;g03_final
