Date_ms;response_time_ms;rtd_no
23.002;0;g03_overload
43.002;0;g03_overload
62.002;0;g03_overload
83.002;0;g03_overload
103.002;0;g03_overload
122.002;0;g03_overload
143.002;1;g03_overload
161.002;0;g03_overload
182.002;0;g03_overload
204.002;2;g03_overload
223.003;0;g03_overload
243.003;1;g03_overload
262.003;0;g03_overload
283.003;0;g03_overload
303.003;1;g03_overload
323.003;0;g03_overload
342.003;0;g03_overload
362.003;0;g03_overload
384.003;1;g03_overload
402.003;0;g03_overload
423.004;0;g03_overload
443.004;0;g03_overload
462.004;0;g03_overload
483.004;0;g03_overload
503.004;0;g03_overload
522.004;0;g03_overload
543.004;0;g03_overload
564.004;0;g03_overload
582.004;0;g03_overload
604.004;0;g03_overload
623.005;0;g03_overload
642.005;0;g03_overload
663.005;0;g03_overload
682.005;0;g03_overload
703.005;0;g03_overload
723.005;0;g03_overload
742.005;0;g03_overload
762.005;0;g03_overload
784.005;0;g03_overload
804.005;0;g03_overload
822.006;0;g03_overload
842.006;0;g03_overload
864.006;0;g03_overload
883.006;0;g03_overload
903.006;0;g03_overload
924.006;0;g03_overload
944.006;0;g03_overload
962.006;0;g03_overload
983.006;0;g03_overload
1003.01;0;g03_overload
1023.01;0;g03_overload
1044.01;0;g03_overload
1063.01;0;g03_overload
1083.01;0;g03_overload
1101.01;0;g03_overload
1124.01;0;g03_overload
1142.01;0;g03_overload
1163.01;0;g03_overload
1183.01;0;g03_overload
1202.01;0;g03_overload
1222.01;0;g03_overload
1243.01;1;g03_overload
1263.01;0;g03_overload
1282.01;0;g03_overload
1302.01;0;g03_overload
1322.01;0;g03_overload
1343.01;0;g03_overload
1364.01;0;g03_overload
1382.01;0;g03_overload
1403.01;0;g03_overload
1423.01;0;g03_overload
1444.01;0;g03_overload
1463.01;0;g03_overload
1482.01;0;g03_overload
1503.01;0;g03_overload
1522.01;0;g03_overload
1543.01;0;g03_overload
1563.01;0;g03_overload
1582.01;0;g03_overload
1603.01;0;g03_overload
1624.01;0;g03_overload
1644.01;0;g03_overload
1663.01;0;g03_overload
1682.01;0;g03_overload
1703.01;0;g03_overload
1724.01;1;g03_overload
1743.01;0;g03_overload
1764.01;1;g03_overload
1782.01;0;g03_overload
1803.01;0;g03_overload
1823.01;0;g03_overload
1842.01;0;g03_overload
1863.01;0;g03_overload
1882.01;0;g03_overload
1903.01;0;g03_overload
1924.01;1;g03_overload
1941.01;0;g03_overload
1962.01;0;g03_overload
1983.01;0;g03_overload
2003.01;0;g03_overload
