Date_ms;response_time_ms;rtd_no
54.001;1;g03_trying
103.002;0;g03_trying
152.002;0;g03_trying
204.002;1;g03_trying
252.002;0;g03_trying
303.003;0;g03_trying
353.003;0;g03_trying
403.003;1;g03_trying
454.003;1;g03_trying
502.004;0;g03_trying
553.004;1;g03_trying
603.004;0;g03_trying
654.004;0;g03_trying
704.005;1;g03_trying
753.005;0;g03_trying
803.005;0;g03_trying
853.005;1;g03_trying
904.006;1;g03_trying
954.006;1;g03_trying
1002.01;0;g03_trying
1053.01;0;g03_trying
1104.01;1;g03_trying
1154.01;1;g03_trying
1204.01;0;g03_trying
1252.01;0;g03_trying
1302.01;0;g03_trying
1352.01;0;g03_trying
1404.01;0;g03_trying
1454.01;1;g03_trying
1503.01;1;g03_trying
1552.01;0;g03_trying
1603.01;0;g03_trying
1653.01;1;g03_trying
1704.01;1;g03_trying
1753.01;0;g03_trying
1803.01;0;g03_trying
1853.01;1;g03_trying
1904.01;1;g03_trying
1954.01;1;g03_trying
2003.01;0;g03_trying
2053.01;1;g03_trying
2104.01;1;g03_trying
2152.01;0;g03_trying
2203.01;1;g03_trying
2254.01;1;g03_trying
2303.01;0;g03_trying
2353.01;1;g03_trying
2402.01;0;g03_trying
2452.01;0;g03_trying
2504.01;1;g03_trying
2553.01;0;g03_trying
2603.01;1;g03_trying
2654.01;1;g03_trying
2702.01;1;g03_trying
2753.01;1;g03_trying
2803.01;0;g03_trying
2854.01;1;g03_trying
2903.02;0;g03_trying
2954.02;1;g03_trying
3004.02;0;g03_trying
3053.02;1;g03_trying
3104.02;1;g03_trying
3153.02;0;g03_trying
3203.02;1;g03_trying
3252.02;0;g03_trying
3303.02;1;g03_trying
3353.02;1;g03_trying
3402.02;0;g03_trying
3453.02;0;g03_trying
3504.02;0;g03_trying
3553.02;1;g03_trying
3603.02;0;g03_trying
3653.02;1;g03_trying
3703.02;0;g03_trying
3753.02;0;g03_trying
3803.02;1;g03_trying
3853.02;0;g03_trying
3904.02;1;g03_trying
3953.02;0;g03_trying
4002.02;0;g03_trying
4054.02;1;g03_trying
4103.02;0;g03_trying
4153.02;0;g03_trying
4203.02;1;g03_trying
4252.02;0;g03_trying
4303.02;0;g03_trying
4354.02;1;g03_trying
4403.02;0;g03_trying
4454.02;1;g03_trying
4503.02;1;g03_trying
4553.02;0;g03_trying
4603.02;1;g03_trying
4653.02;0;g03_trying
4704.02;1;g03_trying
4752.02;0;g03_trying
4803.02;0;g03_trying
4854.02;1;g03_trying
4903.03;0;g03_trying
4954.03;1;g03_trying
5002.03;0;g03_trying
