Date_ms;response_time_ms;rtd_no
53.001;1;g03_final
104.001;2;g03_final
154.002;1;g03_final
206.002;2;g03_final
255.002;2;g03_final
304.002;2;g03_final
354.003;0;g03_final
403.003;1;g03_final
454.003;1;g03_final
503.003;1;g03_final
555.004;1;g03_final
603.004;1;g03_final
655.004;1;g03_final
704.004;1;g03_final
754.004;2;g03_final
804.005;0;g03_final
853.005;1;g03_final
903.005;1;g03_final
953.005;1;g03_final
1003.01;1;g03_final
1054.01;1;g03_final
1105.01;1;g03_final
1153.01;1;g03_final
1203.01;1;g03_final
1254.01;1;g03_final
1304.01;1;g03_final
1356.01;3;g03_final
1404.01;2;g03_final
1456.01;2;g03_final
1505.01;2;g03_final
1554.01;1;g03_final
1606.01;3;g03_final
1653.01;1;g03_final
1704.01;1;g03_final
1754.01;0;g03_final
1804.01;1;g03_final
1853.01;1;g03_final
1903.01;1;g03_final
1954.01;2;g03_final
2003.01;1;g03_final
2053.01;1;g03_final
2103.01;1;g03_final
2153.01;1;g03_final
2204.01;1;g03_final
2254.01;1;g03_final
2305.01;2;g03_final
2354.01;1;g03_final
2404.01;1;g03_final
2454.01;1;g03_final
2504.01;1;g03_final
2553.01;1;g03_final
2605.01;2;g03_final
2654.01;1;g03_final
2705.01;1;g03_final
2754.01;1;g03_final
2803.01;1;g03_final
2854.01;1;g03_final
2903.01;2;g03_final
2954.01;1;g03_final
3004.02;1;g03_final
3054.02;1;g03_final
3104.02;1;g03_final
3154.02;1;g03_final
3204.02;1;g03_final
3254.02;1;g03_final
3304.02;1;g03_final
3353.02;1;g03_final
3405.02;1;g03_final
3454.02;1;g03_final
3508.02;4;g03_final
3556.02;3;g03_final
3604.02;1;g03_final
3655.02;3;g03_final
3706.02;2;g03_final
3753.02;1;g03_final
3804.02;2;g03_final
3853.02;1;g03_final
3904.02;2;g03_final
3953.02;1;g03_final
4003.02;2;g03_final
4053.02;1;g03_final
4103.02;1;g03_final
4154.02;1;g03_final
4204.02;2;g03_final
4253.02;1;g03_final
4305.02;1;g03_final
4354.02;1;g03_final
4404.02;1;g03_final
4454.02;1;g03_final
4503.02;1;g03_final
4554.02;1;g03_final
4604.02;2;g03_final
4654.02;1;g03_final
4705.02;2;g03_final
4754.02;1;g03_final
4803.02;1;g03_final
4854.02;1;g03_final
4904.02;1;g03_final
4954.02;1;g03_final
5004.02;1;g03_final
