Date_ms;response_time_ms;rtd_no
24.002;1;g03_overload
44.002;1;g03_overload
63.002;0;g03_overload
82.002;0;g03_overload
102.002;0;g03_overload
122.002;0;g03_overload
142.002;0;g03_overload
162.002;0;g03_overload
184.002;0;g03_overload
203.002;1;g03_overload
223.003;0;g03_overload
242.003;0;g03_overload
264.003;1;g03_overload
283.003;0;g03_overload
303.003;0;g03_overload
322.003;0;g03_overload
343.003;0;g03_overload
362.003;0;g03_overload
382.003;0;g03_overload
402.003;0;g03_overload
424.003;1;g03_overload
444.004;1;g03_overload
462.004;0;g03_overload
484.004;0;g03_overload
504.004;0;g03_overload
522.004;0;g03_overload
542.004;0;g03_overload
563.004;0;g03_overload
583.004;0;g03_overload
602.004;0;g03_overload
622.004;0;g03_overload
642.005;0;g03_overload
663.005;0;g03_overload
683.005;0;g03_overload
702.005;0;g03_overload
723.005;0;g03_overload
743.005;0;g03_overload
763.005;0;g03_overload
783.005;0;g03_overload
801.005;0;g03_overload
822.005;0;g03_overload
843.006;0;g03_overload
864.006;1;g03_overload
883.006;1;g03_overload
903.006;0;g03_overload
923.006;0;g03_overload
942.006;0;g03_overload
963.006;1;g03_overload
982.006;0;g03_overload
1003.01;0;g03_overload
1023.01;0;g03_overload
1044.01;0;g03_overload
1063.01;1;g03_overload
1082.01;0;g03_overload
1103.01;0;g03_overload
1123.01;0;g03_overload
1143.01;0;g03_overload
1163.01;0;g03_overload
1182.01;0;g03_overload
1203.01;0;g03_overload
1223.01;0;g03_overload
1242.01;0;g03_overload
1262.01;0;g03_overload
1283.01;0;g03_overload
1304.01;0;g03_overload
1323.01;0;g03_overload
1342.01;0;g03_overload
1362.01;0;g03_overload
1384.01;0;g03_overload
1403.01;0;g03_overload
1422.01;0;g03_overload
1442.01;1;g03_overload
1462.01;0;g03_overload
1482.01;0;g03_overload
1503.01;0;g03_overload
1523.01;0;g03_overload
1543.01;1;g03_overload
1563.01;0;g03_overload
1583.01;0;g03_overload
1603.01;0;g03_overload
1622.01;0;g03_overload
1643.01;0;g03_overload
1663.01;0;g03_overload
1682.01;0;g03_overload
1702.01;1;g03_overload
1722.01;0;g03_overload
1742.01;0;g03_overload
1763.01;0;g03_overload
1782.01;0;g03_overload
1803.01;0;g03_overload
1824.01;0;g03_overload
1842.01;0;g03_overload
1863.01;0;g03_overload
1883.01;0;g03_overload
1903.01;1;g03_overload
1923.01;0;g03_overload
1942.01;0;g03_overload
1963.01;0;g03_overload
1983.01;0;g03_overload
2003.01;0;g03_overload
