Date_ms;response_time_ms;rtd_no
53.002;1;g03_trying
103.002;0;g03_trying
153.002;0;g03_trying
204.002;1;g03_trying
253.003;1;g03_trying
304.003;1;g03_trying
353.003;0;g03_trying
404.003;0;g03_trying
454.004;0;g03_trying
502.004;0;g03_trying
552.004;0;g03_trying
602.004;0;g03_trying
654.005;0;g03_trying
702.005;0;g03_trying
752.005;0;g03_trying
802.005;0;g03_trying
853.006;1;g03_trying
903.006;0;g03_trying
953.006;1;g03_trying
1002.01;0;g03_trying
1052.01;0;g03_trying
1102.01;0;g03_trying
1153.01;0;g03_trying
1203.01;0;g03_trying
1252.01;0;g03_trying
1304.01;0;g03_trying
1353.01;0;g03_trying
1402.01;0;g03_trying
1453.01;1;g03_trying
1502.01;0;g03_trying
1552.01;0;g03_trying
1603.01;0;g03_trying
1652.01;0;g03_trying
1703.01;0;g03_trying
1753.01;0;g03_trying
1803.01;0;g03_trying
1852.01;0;g03_trying
1903.01;0;g03_trying
1953.01;0;g03_trying
2003.01;1;g03_trying
2053.01;0;g03_trying
2102.01;0;g03_trying
2153.01;0;g03_trying
2202.01;0;g03_trying
2253.01;1;g03_trying
2304.01;0;g03_trying
2353.01;1;g03_trying
2405.01;2;g03_trying
2455.01;2;g03_trying
2503.01;1;g03_trying
2552.01;0;g03_trying
2603.01;0;g03_trying
2653.01;0;g03_trying
2702.01;0;g03_trying
2753.01;0;g03_trying
2803.01;0;g03_trying
2853.01;0;g03_trying
2905.02;2;g03_trying
2953.02;0;g03_trying
3002.02;0;g03_trying
3053.02;0;g03_trying
3104.02;1;g03_trying
3153.02;0;g03_trying
3202.02;0;g03_trying
3253.02;0;g03_trying
3303.02;0;g03_trying
3352.02;0;g03_trying
3404.02;0;g03_trying
3452.02;0;g03_trying
3505.02;2;g03_trying
3553.02;0;g03_trying
3603.02;1;g03_trying
3652.02;0;g03_trying
3703.02;0;g03_trying
3752.02;0;g03_trying
3802.02;0;g03_trying
3852.02;0;g03_trying
3903.02;1;g03_trying
3952.02;0;g03_trying
4002.02;0;g03_trying
4053.02;0;g03_trying
4104.02;1;g03_trying
4153.02;0;g03_trying
4203.02;1;g03_trying
4253.02;0;g03_trying
4303.02;0;g03_trying
4353.02;0;g03_trying
4404.02;0;g03_trying
4453.02;0;g03_trying
4503.02;0;g03_trying
4554.02;0;g03_trying
4603.02;0;g03_trying
4654.02;2;g03_trying
4704.02;1;g03_trying
4753.02;0;g03_trying
4803.02;0;g03_trying
4852.02;0;g03_trying
4903.02;0;g03_trying
4957.03;2;g03_trying
5002.03;0;g03_trying
